room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
12891617,22590039,Entire home/apt,NORTH,THORNCLIFFE,3,5,12,4,232,3,51.108058,-114.074066,37:28.8
9454062,7710058,Entire home/apt,NORTHWEST,SCENIC ACRES,1,,7,5,200,1,51.121294,-114.217445,37:22.8
13513062,77575191,Entire home/apt,CENTRE,BELTLINE,0,,4,2,480,2,51.03932,-114.059691,37:19.9
14614202,7009208,Private room,CENTRE,RICHMOND,0,,2,1,30,1,51.036981,-114.12137,37:17.6
14263954,19870793,Private room,CENTRE,BELTLINE,1,,2,1,21,1,51.04102,-114.092904,37:14.1
13417595,43634033,Private room,CENTRE,SOUTH CALGARY,6,5,2,1,47,1,51.028268,-114.098987,56:02.7
10382446,9334724,Entire home/apt,CENTRE,INGLEWOOD,0,,2,1,111,3,51.040049,-114.033083,55:59.6
8391028,44213882,Private room,CENTRE,ALTADORE,1,,1,1,36,3,51.022419,-114.097727,55:55.8
5858574,28413707,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,8,4.5,4,2,144,4,51.050509,-114.078047,55:53.7
13547847,77964879,Entire home/apt,WEST,SIGNAL HILL,0,,4,2,119,1,51.033175,-114.173992,55:51.2
13787124,10621846,Entire home/apt,CENTRE,BELTLINE,0,,2,1,62,5,51.041281,-114.069805,55:49.7
6228914,4869295,Entire home/apt,CENTRE,BELTLINE,11,5,4,1,68,1,51.040849,-114.071326,55:48.2
13526673,26788392,Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,61,2,51.049038,-114.056398,55:47.8
11420224,59971605,Entire home/apt,NORTHWEST,ROCKY RIDGE,8,5,4,1,52,1,51.148945,-114.253508,55:32.1
3884451,7877003,Entire home/apt,CENTRE,BELTLINE,6,5,2,1,304,1,51.039013,-114.061185,55:22.7
973964,5326730,Entire home/apt,CENTRE,CHINATOWN,121,5,3,0,92,1,51.051649,-114.065359,55:20.6
13251025,74527498,Private room,WEST,WEST SPRINGS,2,,2,1,20,2,51.066007,-114.198694,55:16.9
13765628,80737020,Entire home/apt,CENTRE,RAMSAY,1,,7,4,280,4,51.034497,-114.046572,55:11.2
9319098,47328994,Private room,NORTHEAST,WHITEHORN,3,3,2,1,28,1,51.090946,-113.978894,55:04.0
8966977,31938253,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,27,5,2,0,96,2,51.048086,-114.057824,54:57.7
12926422,14020178,Private room,CENTRE,BELTLINE,0,,2,1,80,1,51.03975,-114.08985,54:56.1
12106731,64918372,Private room,NORTH,BEDDINGTON HEIGHTS,12,4,2,1,36,1,51.125967,-114.055825,54:52.8
12903555,55000520,Private room,CENTRE,BELTLINE,9,5,2,1,56,1,51.040271,-114.089822,54:43.3
5958974,30055236,Entire home/apt,NORTHWEST,ROYAL OAK,15,5,2,0,53,3,51.138952,-114.233593,54:39.0
4296019,22301964,Private room,CENTRE,SUNNYSIDE,60,5,2,1,57,2,51.056066,-114.083329,54:29.6
8258361,43550780,Entire home/apt,CENTRE,BELTLINE,19,4.5,4,2,104,2,51.04414,-114.087048,54:25.9
8582680,2228369,Entire home/apt,CENTRE,DOWNTOWN WEST END,0,,2,1,240,1,51.046903,-114.088001,54:25.7
2467606,8300376,Entire home/apt,CENTRE,SUNNYSIDE,9,5,4,2,188,2,51.057095,-114.079485,54:15.1
12456523,66820635,Entire home/apt,CENTRE,ERLTON,2,,5,2,68,3,51.03072,-114.061937,53:56.4
12303496,48409836,Private room,SOUTHEAST,DOUGLASDALE/GLEN,0,,2,1,41,1,50.963284,-114.020972,53:50.2
1280902,6969919,Entire home/apt,CENTRE,SUNALTA,60,5,2,1,76,,51.04152,-114.098474,53:50.1
1009966,5556498,Private room,SOUTH,ACADIA,2,,1,1,44,2,50.971259,-114.057048,53:44.6
8651585,25459352,Entire home/apt,CENTRE,CHINATOWN,10,5,3,0,72,3,51.049467,-114.062041,53:39.8
5340715,25287412,Entire home/apt,NORTHWEST,VARSITY,12,4.5,12,6,183,,51.088742,-114.139336,53:28.5
8651961,45471241,Private room,CENTRE,DOWNTOWN WEST END,0,,1,1,80,1,51.048285,-114.088546,53:21.3
13939766,82901225,Private room,CENTRE,RENFREW,1,,2,1,61,1,51.061157,-114.049129,53:15.8
13047137,12185511,Private room,NORTHWEST,MONTGOMERY,6,5,2,1,39,,51.06731,-114.155117,53:08.0
13766818,80593612,Entire home/apt,NORTHEAST,MAYLAND HEIGHTS,1,,4,3,88,4,51.056814,-114.014153,53:04.6
10591738,54639446,Entire home/apt,CENTRE,SUNNYSIDE,3,5,8,3,127,2,51.058544,-114.085104,53:02.6
14091334,31114021,Entire home/apt,CENTRE,BRIDGELAND/RIVERSIDE,3,5,4,2,72,3,51.050271,-114.049879,52:52.2
7368070,38602460,Private room,NORTHEAST,CITYSCAPE,70,5,2,1,43,1,51.151193,-113.961031,52:46.0
10518944,14515098,Entire home/apt,CENTRE,BELTLINE,5,5,3,1,134,1,51.042595,-114.063943,52:41.2
13188607,43355604,Entire home/apt,CENTRE,BELTLINE,26,5,6,2,76,1,51.039938,-114.063635,52:14.5
14320301,42786451,Entire home/apt,NORTHWEST,VARSITY,0,,5,4,65,1,51.097379,-114.153538,52:12.0
587024,1576340,Private room,CENTRE,CRESCENT HEIGHTS,2,,2,1,61,2,51.06169,-114.056684,52:01.2
9098346,13313897,Entire home/apt,CENTRE,BELTLINE,38,5,4,1,64,3,51.041484,-114.055062,51:57.7
6901384,36163000,Private room,CENTRE,SHAGANAPPI,14,5,2,1,28,,51.03833,-114.129779,51:33.6
5730071,8175696,Private room,CENTRE,HIGHLAND PARK,15,4.5,2,1,26,1,51.08166,-114.062908,51:29.7
7853862,28413707,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,0,,2,1,100,4,51.050513,-114.077154,51:22.4
4932990,20673598,Entire home/apt,NORTH,KINCORA,33,4.5,6,2,75,2,51.156597,-114.129185,51:13.2
8258815,43548063,Private room,NORTHWEST,UNIVERSITY HEIGHTS,27,5,1,1,35,1,51.069011,-114.13546,51:11.5
13506073,77494094,Entire home/apt,CENTRE,DOWNTOWN WEST END,3,4,2,1,79,3,51.049448,-114.083612,51:04.7
11676118,13819819,Private room,CENTRE,DOWNTOWN EAST VILLAGE,9,5,1,1,54,1,51.048542,-114.050634,50:57.8
10956477,32979988,Entire home/apt,CENTRE,BELTLINE,55,4.5,3,2,68,1,51.038128,-114.063542,50:54.4
2141993,10931604,Entire home/apt,CENTRE,RENFREW,16,4.5,2,1,76,2,51.057119,-114.054081,50:43.9
7584012,39771735,Private room,CENTRE,BELTLINE,0,,1,1,39,1,51.038816,-114.086804,50:41.5
12889676,12365039,Entire home/apt,CENTRE,BELTLINE,1,,4,2,119,2,51.042774,-114.060603,50:39.1
13266245,42076529,Entire home/apt,CENTRE,BELTLINE,3,4.5,2,1,113,1,51.040035,-114.059275,50:26.0
13533478,70732381,Entire home/apt,CENTRE,TUXEDO PARK,7,4.5,8,2,67,,51.074587,-114.057883,50:22.9
13621197,7529402,Entire home/apt,CENTRE,BELTLINE,2,,2,1,80,3,51.040715,-114.083473,50:20.8
8268425,43597513,Entire home/apt,NORTHWEST,EDGEMONT,7,5,15,5,241,2,51.123525,-114.135734,49:58.5
10640050,54936160,Private room,NORTHEAST,MARLBOROUGH,60,5,2,1,30,1,51.064503,-113.974352,49:40.0
14154401,78674704,Entire home/apt,NORTHWEST,MONTGOMERY,0,,4,2,79,1,51.073718,-114.152653,49:18.6
4447284,23078502,Entire home/apt,CENTRE,HILLHURST,1,,5,2,300,3,51.053548,-114.088134,49:17.9
6726005,35220416,Entire home/apt,SOUTHEAST,OGDEN,0,,4,2,111,15,50.986032,-113.99836,49:15.9
2856140,14601538,Entire home/apt,CENTRE,SUNNYSIDE,4,5,3,1,76,1,51.052844,-114.083743,49:08.5
13712380,6502716,Private room,CENTRE,BELTLINE,1,,2,1,75,1,51.040195,-114.063641,49:05.9
11927024,63655391,Private room,NORTHWEST,TUSCANY,1,,2,1,47,1,51.128064,-114.238669,48:41.6
9541138,49416404,Entire home/apt,CENTRE,RAMSAY,0,,6,3,200,3,51.036923,-114.039352,48:10.6
12890924,29346784,Entire home/apt,CENTRE,INGLEWOOD,0,,4,2,61,1,51.031473,-114.019532,48:06.7
9735124,50229926,Private room,CENTRE,WEST HILLHURST,0,,2,1,48,1,51.056046,-114.10984,48:06.0
14169645,23432075,Entire home/apt,CENTRE,BELTLINE,2,,4,1,56,1,51.043916,-114.079948,48:03.3
3405776,17177246,Entire home/apt,NORTHWEST,CITADEL,4,5,4,2,104,3,51.146304,-114.186012,48:01.1
8446029,30780968,Private room,NORTHWEST,EDGEMONT,3,5,2,1,24,1,51.1386,-114.128658,47:58.6
13333111,75472430,Private room,CENTRE,DOWNTOWN COMMERCIAL CORE,5,5,2,1,32,1,51.047974,-114.080139,47:57.4
13882870,4036214,Private room,CENTRE,CLIFF BUNGALOW,0,,2,1,108,2,51.033147,-114.072907,47:48.6
11116674,32305059,Private room,SOUTHEAST,RIVERBEND,0,,1,1,40,7,50.982604,-114.022909,47:46.0
1614196,8540014,Entire home/apt,CENTRE,SUNNYSIDE,5,5,4,2,97,2,51.055058,-114.080642,47:40.8
13431400,76262844,Private room,CENTRE,HIGHWOOD,0,,3,1,72,1,51.095953,-114.072565,47:35.3
13961100,36894228,Private room,WEST,ASPEN WOODS,1,,1,1,48,1,51.040547,-114.202056,47:34.9
6984385,36619702,Entire home/apt,CENTRE,HOUNSFIELD HEIGHTS/BRIAR HILL,2,,6,4,119,3,51.059811,-114.097732,47:31.9
6516071,34072837,Private room,CENTRE,INGLEWOOD,5,4.5,2,1,36,1,51.033272,-114.021004,47:29.5
14197467,86109841,Entire home/apt,SOUTHEAST,OGDEN,4,5,6,3,72,1,50.999186,-114.014881,47:26.1
2987800,12365039,Entire home/apt,CENTRE,BELTLINE,10,4.5,2,1,87,2,51.038302,-114.073214,47:02.8
7134779,37371434,Entire home/apt,CENTRE,BANFF TRAIL,32,5,4,2,80,2,51.076638,-114.11487,46:57.3
12263817,50537072,Entire home/apt,NORTHWEST,MONTGOMERY,2,,12,4,140,1,51.076256,-114.161223,46:57.3
9772515,50385837,Entire home/apt,EAST,FOREST LAWN,0,,2,1,80,3,51.031842,-113.977453,46:54.1
14466312,85105127,Entire home/apt,CENTRE,MISSION,1,,4,1,64,1,51.033782,-114.068899,46:53.3
13825781,18134988,Entire home/apt,CENTRE,MISSION,4,5,3,1,76,2,51.030057,-114.070903,46:49.3
12738006,69271824,Entire home/apt,NORTHWEST,SCENIC ACRES,0,,6,3,121,10,51.117859,-114.225743,46:48.3
6529762,1867493,Entire home/apt,CENTRE,CRESCENT HEIGHTS,11,4.5,10,3,340,3,51.054913,-114.054492,46:24.2
13771811,31221690,Private room,CENTRE,CRESCENT HEIGHTS,3,4.5,2,1,33,,51.054581,-114.055449,46:17.7
1022246,5627930,Entire home/apt,NORTHWEST,VARSITY,2,,6,4,200,3,51.098502,-114.156705,46:14.6
5308676,27497225,Private room,CENTRE,CRESCENT HEIGHTS,86,5,2,1,32,1,51.054101,-114.05631,46:12.6
12288184,66221947,Private room,EAST,ALBERT PARK/RADISSON HEIGHTS,16,5,2,1,27,1,51.043691,-114.002154,46:09.1
5815003,30172877,Private room,NORTH,BEDDINGTON HEIGHTS,1,,1,1,40,1,51.128719,-114.072674,46:06.3
13801325,81163107,Entire home/apt,CENTRE,DOWNTOWN COMMERCIAL CORE,1,,4,2,119,2,51.049581,-114.077323,46:01.4
8430500,40545152,Entire home/apt,NORTHWEST,ARBOUR LAKE,0,,2,1,92,5,51.134576,-114.213012,45:57.8
7563322,31244646,Private room,CENTRE,TUXEDO PARK,6,5,2,1,29,1,51.073254,-114.059108,45:52.5
